subsecao_id,municipio_id,year
11592.0,11371.0,2018
11592.0,11436.0,2018
11592.0,11592.0,2018
11592.0,11614.0,2018
11592.0,11630.0,2018
11592.0,11878.0,2018
11592.0,12033.0,2018
11592.0,12050.0,2018
11592.0,12130.0,2018
11592.0,12165.0,2018
11592.0,12181.0,2018
11592.0,12220.0,2018
11592.0,12254.0,2018
11592.0,12319.0,2018
11592.0,12335.0,2018
11592.0,12378.0,2018
11592.0,12467.0,2018
11592.0,12513.0,2018
11592.0,12548.0,2018
11592.0,12556.0,2018
11592.0,12629.0,2018
11592.0,12734.0,2018
12114.0,10081.0,2018
12114.0,10138.0,2018
12114.0,10243.0,2018
12114.0,10260.0,2018
12114.0,10286.0,2018
12114.0,10340.0,2018
12114.0,10413.0,2018
12114.0,10421.0,2018
12114.0,10456.0,2018
12114.0,10499.0,2018
12114.0,10502.0,2018
12114.0,10561.0,2018
12114.0,10588.0,2018
12114.0,10626.0,2018
12114.0,10642.0,2018
12114.0,10685.0,2018
12114.0,10707.0,2018
12114.0,10804.0,2018
12114.0,10847.0,2018
12114.0,10960.0,2018
12114.0,11452.0,2018
12114.0,11550.0,2018
12114.0,11991.0,2018
12114.0,12084.0,2018
12114.0,12114.0,2018
12114.0,12122.0,2018
12114.0,12157.0,2018
12114.0,12173.0,2018
12114.0,12262.0,2018
12114.0,12297.0,2018
12114.0,12327.0,2018
12114.0,12351.0,2018
12114.0,12386.0,2018
12114.0,12491.0,2018
12114.0,12505.0,2018
12114.0,12530.0,2018
12114.0,12602.0,2018
12190.0,10006.0,2018
12190.0,10014.0,2018
12190.0,10030.0,2018
12190.0,10057.0,2018
12190.0,10073.0,2018
12190.0,10090.0,2018
12190.0,10103.0,2018
12190.0,10111.0,2018
12190.0,10120.0,2018
12190.0,10189.0,2018
12190.0,10235.0,2018
12190.0,10278.0,2018
12190.0,10294.0,2018
12190.0,10308.0,2018
12190.0,10316.0,2018
12190.0,10324.0,2018
12190.0,10405.0,2018
12190.0,10430.0,2018
12190.0,10448.0,2018
12190.0,10464.0,2018
12190.0,10472.0,2018
12190.0,10510.0,2018
12190.0,10545.0,2018
12190.0,10600.0,2018
12190.0,10650.0,2018
12190.0,10669.0,2018
12190.0,10693.0,2018
12190.0,10731.0,2018
12190.0,10740.0,2018
12190.0,10790.0,2018
12190.0,10863.0,2018
12190.0,10901.0,2018
12190.0,10910.0,2018
12190.0,10928.0,2018
12190.0,10987.0,2018
12190.0,11096.0,2018
12190.0,11150.0,2018
12190.0,11215.0,2018
12190.0,11231.0,2018
12190.0,11258.0,2018
12190.0,11274.0,2018
12190.0,11355.0,2018
12190.0,11410.0,2018
12190.0,11495.0,2018
12190.0,11576.0,2018
12190.0,11673.0,2018
12190.0,11690.0,2018
12190.0,11711.0,2018
12190.0,11754.0,2018
12190.0,11819.0,2018
12190.0,11916.0,2018
12190.0,11932.0,2018
12190.0,11959.0,2018
12190.0,11975.0,2018
12190.0,12076.0,2018
12190.0,12092.0,2018
12190.0,12106.0,2018
12190.0,12149.0,2018
12190.0,12190.0,2018
12190.0,12211.0,2018
12190.0,12246.0,2018
12190.0,12270.0,2018
12190.0,12343.0,2018
12190.0,12360.0,2018
12190.0,12394.0,2018
12190.0,12408.0,2018
12190.0,12416.0,2018
12190.0,12424.0,2018
12190.0,12432.0,2018
12190.0,12440.0,2018
12190.0,12459.0,2018
12190.0,12483.0,2018
12190.0,12580.0,2018
12190.0,12653.0,2018
12190.0,12661.0,2018
12190.0,12718.0,2018
12190.0,12726.0,2018
13838.0,13340.0,2018
13838.0,13420.0,2018
13838.0,13447.0,2018
13838.0,13838.0,2018
13838.0,14133.0,2018
13838.0,14192.0,2018
13838.0,14737.0,2018
13838.0,14877.0,2018
13838.0,14893.0,2018
13838.0,15210.0,2018
13838.0,15652.0,2018
13897.0,13129.0,2018
13897.0,13145.0,2018
13897.0,13161.0,2018
13897.0,13188.0,2018
13897.0,13196.0,2018
13897.0,13226.0,2018
