municipio_id,comarca_id,subsecao_id
11371.0,12254.0,11592.0
11380.0,,
11398.0,11398.0,10774.0
11401.0,,
11410.0,11576.0,12190.0
11428.0,,
11436.0,11436.0,11592.0
11444.0,,
11452.0,11452.0,12114.0
11460.0,,
11479.0,10618.0,10570.0
11487.0,,
11495.0,11495.0,12190.0
11509.0,,
11517.0,11517.0,10570.0
11525.0,,
11533.0,11533.0,11533.0
11541.0,,
11550.0,11550.0,12114.0
11568.0,,
11576.0,11576.0,12190.0
11584.0,,
11592.0,11592.0,11592.0
11614.0,11614.0,11592.0
11630.0,11630.0,11592.0
11657.0,11657.0,11533.0
11673.0,11673.0,12190.0
11690.0,11690.0,12190.0
11711.0,11916.0,12190.0
11738.0,11738.0,10570.0
11754.0,11754.0,12190.0
11770.0,11770.0,10774.0
11797.0,11010.0,10774.0
11800.0,,
11819.0,11819.0,12190.0
11827.0,,
11835.0,11835.0,10570.0
11851.0,10618.0,10570.0
11878.0,11592.0,11592.0
11894.0,10413.0,10774.0
11916.0,11916.0,12190.0
11932.0,11398.0,12190.0
11959.0,11959.0,12190.0
11975.0,10510.0,12190.0
11991.0,11991.0,12114.0
12009.0,11657.0,11533.0
12017.0,11339.0,10774.0
12025.0,11398.0,10774.0
12033.0,11592.0,11592.0
12041.0,10570.0,10570.0
12050.0,10855.0,11592.0
12068.0,10332.0,10774.0
12076.0,12076.0,12190.0
12084.0,10618.0,12114.0
12092.0,12092.0,12190.0
12106.0,12076.0,12190.0
12114.0,12114.0,12114.0
12122.0,11550.0,12114.0
12130.0,12130.0,11592.0
12149.0,10472.0,12190.0
12157.0,12157.0,12114.0
12165.0,12130.0,11592.0
12173.0,12173.0,12114.0
12181.0,12130.0,11592.0
12190.0,12190.0,12190.0
12203.0,10634.0,10570.0
12211.0,12211.0,12190.0
12220.0,12254.0,11592.0
12238.0,12238.0,10774.0
12246.0,11576.0,12190.0
12254.0,12254.0,11592.0
12262.0,10456.0,12114.0
12270.0,12270.0,12190.0
