comarca_id,municipio_id,year
2950.0,2950.0,2018
2976.0,2976.0,2018
2992.0,2992.0,2018
3018.0,3018.0,2018
3018.0,3069.0,2018
3034.0,3034.0,2018
3050.0,3050.0,2018
3077.0,3077.0,2018
3077.0,3115.0,2018
3085.0,3085.0,2018
3093.0,3026.0,2018
3093.0,3093.0,2018
3123.0,3042.0,2018
3123.0,3107.0,2018
3123.0,3123.0,2018
3158.0,3000.0,2018
3158.0,3131.0,2018
3158.0,3158.0,2018
4006.0,4006.0,2018
4014.0,4014.0,2018
4022.0,4022.0,2018
4030.0,4030.0,2018
4057.0,4057.0,2018
4073.0,4073.0,2018
4073.0,4740.0,2018
4081.0,4081.0,2018
4090.0,4090.0,2018
4103.0,4103.0,2018
4111.0,4111.0,2018
4111.0,4405.0,2018
4138.0,4138.0,2018
4146.0,4146.0,2018
4146.0,4766.0,2018
4154.0,4154.0,2018
4170.0,4170.0,2018
4200.0,4200.0,2018
4227.0,4227.0,2018
4235.0,4235.0,2018
4251.0,4251.0,2018
4278.0,4278.0,2018
4294.0,4243.0,2018
4294.0,4294.0,2018
4316.0,4316.0,2018
4324.0,4324.0,2018
4332.0,4332.0,2018
4332.0,4669.0,2018
4340.0,4189.0,2018
4340.0,4340.0,2018
4359.0,4219.0,2018
4359.0,4359.0,2018
4367.0,4367.0,2018
4375.0,4375.0,2018
4383.0,4383.0,2018
4391.0,4391.0,2018
4391.0,5274.0,2018
4413.0,4413.0,2018
4421.0,4421.0,2018
4430.0,4430.0,2018
4448.0,4448.0,2018
4456.0,4456.0,2018
4464.0,4464.0,2018
4472.0,4472.0,2018
4472.0,4677.0,2018
4472.0,4820.0,2018
4499.0,4499.0,2018
4537.0,4537.0,2018
4537.0,4561.0,2018
4537.0,5991.0,2018
4553.0,4553.0,2018
4570.0,4545.0,2018
4570.0,4570.0,2018
4596.0,4596.0,2018
4618.0,4618.0,2018
4634.0,4634.0,2018
4634.0,4812.0,2018
4642.0,4642.0,2018
4650.0,4650.0,2018
4693.0,4693.0,2018
4707.0,4707.0,2018
4715.0,4197.0,2018
4715.0,4286.0,2018
4715.0,4715.0,2018
4731.0,4731.0,2018
4758.0,4758.0,2018
4790.0,4790.0,2018
4839.0,4049.0,2018
4839.0,4600.0,2018
4839.0,4839.0,2018
4855.0,4855.0,2018
4871.0,4871.0,2018
4898.0,4898.0,2018
4910.0,4910.0,2018
4936.0,4936.0,2018
4952.0,4952.0,2018
4979.0,4979.0,2018
4995.0,4995.0,2018
5010.0,4774.0,2018
5010.0,5010.0,2018
5037.0,5037.0,2018
5053.0,5053.0,2018
5070.0,5070.0,2018
5096.0,5096.0,2018
5118.0,5118.0,2018
5134.0,5134.0,2018
5150.0,5150.0,2018
5177.0,5177.0,2018
5193.0,5193.0,2018
5215.0,4685.0,2018
5215.0,5215.0,2018
5231.0,5231.0,2018
5258.0,5258.0,2018
5290.0,5290.0,2018
5312.0,5312.0,2018
5339.0,5339.0,2018
5355.0,4804.0,2018
5355.0,5355.0,2018
5371.0,4065.0,2018
5371.0,5371.0,2018
5398.0,5398.0,2018
5410.0,5410.0,2018
5436.0,5436.0,2018
5452.0,5452.0,2018
5479.0,5479.0,2018
5495.0,4162.0,2018
5495.0,5495.0,2018
5495.0,5932.0,2018
5517.0,5517.0,2018
5533.0,5533.0,2018
5550.0,5550.0,2018
5576.0,5576.0,2018
5592.0,5592.0,2018
5614.0,5614.0,2018
5630.0,4510.0,2018
5630.0,5630.0,2018
5657.0,5657.0,2018
5673.0,4308.0,2018
5673.0,4529.0,2018
5673.0,5673.0,2018
5690.0,4588.0,2018
