comarca_id,comarca,tribunal,estado_id,estado,n_municipios,entrancia,juizes
350,eloi mendes,TJMG,13.0,MG,1.0,1.0,2.0
351,entrerios de minas,TJMG,13.0,MG,4.0,1.0,1.0
352,ervalia,TJMG,13.0,MG,2.0,1.0,1.0
353,esmeraldas,TJMG,13.0,MG,1.0,1.0,2.0
354,espera feliz,TJMG,13.0,MG,4.0,1.0,1.0
355,espinosa,TJMG,13.0,MG,2.0,1.0,1.0
356,estrela do sul,TJMG,13.0,MG,3.0,1.0,1.0
357,eugenopolis,TJMG,13.0,MG,2.0,1.0,1.0
358,extrema,TJMG,13.0,MG,2.0,1.0,2.0
359,formiga,TJMG,13.0,MG,3.0,2.0,6.0
360,francisco sa,TJMG,13.0,MG,2.0,1.0,2.0
361,frutal,TJMG,13.0,MG,4.0,2.0,5.0
362,galileia,TJMG,13.0,MG,3.0,1.0,1.0
363,governador valadares,TJMG,13.0,MG,4.0,3.0,20.0
364,grao mogol,TJMG,13.0,MG,4.0,,
365,guanhaes,TJMG,13.0,MG,4.0,2.0,2.0
366,guape,TJMG,13.0,MG,1.0,1.0,1.0
367,guaranesia,TJMG,13.0,MG,1.0,1.0,1.0
368,guarani,TJMG,13.0,MG,2.0,1.0,1.0
369,guaxupe,TJMG,13.0,MG,2.0,2.0,4.0
370,ibia,TJMG,13.0,MG,2.0,1.0,2.0
371,ibiraci,TJMG,13.0,MG,2.0,1.0,1.0
372,ibirite,TJMG,13.0,MG,3.0,2.0,8.0
373,igarape,TJMG,13.0,MG,2.0,1.0,4.0
374,iguatama,TJMG,13.0,MG,1.0,1.0,1.0
375,inhapim,TJMG,13.0,MG,7.0,2.0,2.0
376,ipanema,TJMG,13.0,MG,4.0,1.0,1.0
377,ipatinga,TJMG,13.0,MG,2.0,3.0,18.0
378,itabira,TJMG,13.0,MG,1.0,2.0,6.0
379,itabirito,TJMG,13.0,MG,1.0,1.0,2.0
380,itaguara,TJMG,13.0,MG,1.0,1.0,1.0
381,itajuba,TJMG,13.0,MG,5.0,2.0,8.0
382,itamarandiba,TJMG,13.0,MG,3.0,1.0,2.0
383,itambacuri,TJMG,13.0,MG,5.0,2.0,2.0
384,itamonte,TJMG,13.0,MG,2.0,1.0,1.0
385,itanhandu,TJMG,13.0,MG,2.0,1.0,1.0
386,itanhomi,TJMG,13.0,MG,2.0,1.0,1.0
387,itapagipe,TJMG,13.0,MG,2.0,1.0,1.0
388,itapecerica,TJMG,13.0,MG,3.0,1.0,2.0
389,itauna,TJMG,13.0,MG,2.0,2.0,7.0
390,ituiutaba,TJMG,13.0,MG,2.0,2.0,10.0
391,itumirim,TJMG,13.0,MG,3.0,1.0,1.0
392,iturama,TJMG,13.0,MG,4.0,2.0,4.0
393,jabuticatubas,TJMG,13.0,MG,2.0,1.0,1.0
394,jacinto,TJMG,13.0,MG,5.0,1.0,1.0
395,jacui,TJMG,13.0,MG,2.0,1.0,1.0
