name,ll
manifeste,-8.560730649623821
medico,-8.56412623862496
iguacu,-8.57026750664704
valeria,-8.570952203695361
dantas,-8.57163736987496
monica,-8.57300911220254
confeccoes,-8.57300911220254
material,-8.58197159894497
teresopolis,-8.588223790204019
raquel,-8.591015138841291
adilson,-8.595918826425821
vitor,-8.59662132030789
cristiano,-8.59662132030789
bento,-8.59802779030064
cezar,-8.60155264414408
servidores,-8.60225910832041
walter,-8.60225910832041
goncalves,-8.61006333381199
paes,-8.61577763507543
passos,-8.616494224142281
priscila,-8.616494224142281
sandro,-8.618647077503379
economia,-8.62008489227301
brasileiros,-8.62008489227301
tereza,-8.6208045756434
cabo,-8.62224549808291
endereco,-8.62224549808291
douglas,-8.62296673864789
divinopolis,-8.625133586732991
pontes,-8.62875546682414
com,-8.630207899904459
universidade,-8.63311911011191
david,-8.63311911011191
junior,-8.63750187826701
brasileiro,-8.63823421077868
passiva,-8.64190393966765
assessoria,-8.64780366179483
principal,-8.64780366179483
aereas,-8.648543580437549
albuquerque,-8.64928404696527
l,-8.65225140819307
sa,-8.6529946263618
barcelos,-8.66195659821904
representacoes,-8.66270706729741
tania,-8.66345810000263
marina,-8.665714588361359
processo,-8.665714588361359
viagens,-8.66646788406554
as,-8.66722174765194
esteves,-8.66948675428279
car,-8.67175690281733
denise,-8.67251476568043
modas,-8.675551973785879
aranha,-8.676312719353191
vida,-8.67936150220255
camargo,-8.6808893863806
vianna,-8.68241960856137
marta,-8.684719341272901
grande,-8.68625543988524
tiago,-8.68702437494812
pcg,-8.68856402113371
informatica,-8.6939715275511
silvia,-8.69474642104203
rosana,-8.69552191545856
ferraz,-8.69785201360018
habilitado,-8.69940843414784
terra,-8.70018755378211
restaurante,-8.70096728091713
administracao,-8.70096728091713
faco,-8.70096728091713
d,-8.70252856148408
roberta,-8.7033101168189
lacerda,-8.706442460805219
rj,-8.70722708226564
alessandro,-8.70801231984034
mara,-8.70879817449768
jaqueline,-8.71037173894511
cultura,-8.71115945068336
wellington,-8.71431651723612
fiat,-8.71431651723612
sebastiao,-8.71510734369094
viviane,-8.71748358243283
furtado,-8.7190708843534
anjos,-8.722253066831861
prado,-8.72544540793083
mariano,-8.72784636946837
reginaldo,-8.72945021905035
gloria,-8.73025310949894
na,-8.73105664509862
guarulhos,-8.73266565590432
barboza,-8.73347113319314
trindade,-8.73427725979866
competicao,-8.73427725979866
center,-8.7358914651532
superior,-8.74074977430428
parque,-8.74074977430428
matheus,-8.74400180969066
azeredo,-8.74563180190159
braz,-8.748899778666201
decoracoes,-8.74971844428704
toledo,-8.75135778891647
bancos,-8.754644562623099
bebidas,-8.754644562623099
bw,-8.75711675176848
preto,-8.76207954111061
santiago,-8.76290907247299
silvio,-8.769570212839769
helio,-8.77124245403213
camila,-8.7720796244452
cnova,-8.78387420093803
clube,-8.78812049181948
afonso,-8.79153055480003
correa,-8.79323995692568
ivan,-8.79323995692568
motos,-8.79495228611119
fontes,-8.796667552397938
rios,-8.79924598098589
geral,-8.80010693669985
b,-8.8026942602648
eventos,-8.80442286916542
telefonica,-8.80442286916542
conceicao,-8.80702139812868
edna,-8.80788907714191
regional,-8.8139840024094
cavalcante,-8.81573225460293
severino,-8.8183603770092
pontocom,-8.820995424647212
tatiana,-8.82363743411005
estes,-8.826286442281619
andreia,-8.827171006691358
calcados,-8.829829404357971
procurador,-8.83249488794411
magalhaes,-8.83249488794411
antonia,-8.8333849636593
condominio,-8.83516749532558
figueira,-8.836059954108599
central,-8.83963777545649
mariana,-8.8423295671222
anna,-8.84412812875811
peres,-8.84683205109051
angelo,-8.848638736315461
flavia,-8.84954330444589
marcus,-8.84954330444589
f,-8.853169781675062
vargas,-8.853169781675062
fagundes,-8.855898296328268
marcia,-8.855898296328268
importacao,-8.858634276147141
domingues,-8.861377762092891
requerido,-8.86321094317455
simoes,-8.86596703127653
village,-8.86873073639815
teresopolis,-8.86873073639815
veiga,-8.869653671396751
leila,-8.869653671396751
banespa,-8.869653671396751
bcp,-8.869653671396751
fabio,-8.871502100758539
lessa,-8.872427598279481
carrefour,-8.872427598279481
mutuo,-8.87335395313961
manuel,-8.87335395313961
alice,-8.87335395313961
gilson,-8.87520924124136
conceicao,-8.87613817767601
branco,-8.87613817767601
funcionarios,-8.87613817767601
americanas,-8.87613817767601
cesar,-8.880795847949999
brandao,-8.88453766709599
estancia,-8.885475313671948
vidal,-8.89017677978376
orlando,-8.89111973129163
claudio,-8.89206357279634
cerqueira,-8.895847872487579
telecom,-8.895847872487579
izabel,-8.89774540626377
katia,-8.89869552510009
nossa,-8.899646547520788
imoveis,-8.900598475246179
selma,-8.904415273772882
imobiliaria,-8.904415273772882
milton,-8.90632914995516
amaro,-8.91305671016822
jair,-8.91305671016822
m,-8.91498721269827
despacho,-8.91498721269827
vila,-8.915953863329369
alvarenga,-8.91788997235624
cavalcanti,-8.91788997235624
transportadora,-8.91885943438078
arruda,-8.91885943438078
samuel,-8.91885943438078
pan,-8.91982983717406
tv,-8.92860610023308
botelho,-8.92860610023308
cia,-8.92958601211943
automoveis,-8.93056688517502
lucio,-8.935485734246619
industriais,-8.93844869937727
silvana,-8.94340656773806
shopping,-8.94440109790457
eliana,-8.94539661814607
vaz,-8.94539661814607
cidade,-8.94639313043581
automoveis,-8.94739063675293
nilton,-8.95239314843591
dia,-8.95239314843591
daniele,-8.95339666081315
barroso,-8.955406711741169
marli,-8.957420811112868
j,-8.95842938406776
ibi,-8.95842938406776
concessionaria,-8.959438975269109
norteleste,-8.959438975269109
locacao,-8.96146122064988
bruna,-8.96551802134549
paulino,-8.96653479825058
elza,-8.96755261004328
armando,-8.97368133198465
p,-8.9747064473999
bradescard,-8.975732614755211
bmc,-8.97675983621174
dra,-8.97675983621174
reinaldo,-8.979847846900311
bueno,-8.979847846900311
goulart,-8.986052623787199
aurelio,-8.98709050659962
directv,-8.98709050659962
america,-8.988129467732039
sp,-8.988129467732039
salles,-8.99021063393586
alcantara,-8.991252843514301
desenvolvimento,-8.992296140426882
exportacao,-8.998578883606381
autonomo,-9.00068193380316
imobiliaria,-9.00173511978782
michele,-9.004901349345868
danielle,-9.004901349345868
internet,-9.004901349345868
rubens,-9.00701775225224
magno,-9.00807763576429
neuza,-9.012328439189481
incorporacoes,-9.01339396939152
camara,-9.01446063615932
magazine,-9.01446063615932
marcio,-9.01552844192015
valeria,-9.01659738910906
eletronicos,-9.0187387175504
mercado,-9.02195933225044
gonzaga,-9.02519035283189
flores,-9.02519035283189
vania,-9.02843184675606
bittencourt,-9.03059869484115
teresa,-9.031683882142438
expresso,-9.03277024835466
vasconcellos,-9.03385779604206
aquino,-9.036036446141278
beneficente,-9.03931334694359
america,-9.040408037802779
pinho,-9.041503928323412
securitizadora,-9.04369931888685
financeiros,-9.044798824220269
autora,-9.044798824220269
joel,-9.04589953979645
jefferson,-9.04589953979645
guapimirim,-9.047001468282609
supermercado,-9.05031455800557
amanda,-9.05252939833512
ordinatorio,-9.05363866078941
outros,-9.054749155073429
metropolitana,-9.054749155073429
artigos,-9.055860883926119
sobrinho,-9.05697385009554
pneus,-9.05697385009554
messias,-9.05697385009554
transito,-9.05697385009554
hugo,-9.061438143224231
imoveis,-9.062557337521241
juiza,-9.06817217540557
diogo,-9.07042696779266
presidente,-9.07042696779266
alan,-9.0726868557601
novaes,-9.07495186239095
raphael,-9.07608629246156
pimenta,-9.077222010925489
margarida,-9.077222010925489
r,-9.077222010925489
rosane,-9.07835902071257
willian,-9.08177782746135
incorporadora,-9.08292003204013
azul,-9.08980079313235
creditos,-9.08980079313235
quintanilha,-9.0921049416172
,-9.0921049416172
vilma,-9.09557114959369
caldas,-9.09672922731432
ltda,-9.099049413970011
valenca,-9.100211529150188
acessorios,-9.104873542256
evangelista,-9.10604244946098
bem,-9.10838437090606
