classe_id,classe,classe_accents,classe_sigla
114,CARTA TESTEMUNHAVEL,Carta Testemunhável,CT
143,CRIACAO DE ZONA ELEITORAL OU REMANEJAMENTO,Criação de Zona Eleitoral ou Remanejamento,CZER
99,CANCELAMENTO DE NATURALIZACAO,Cancelamento de Naturalização,CanNat
105,CARTA DE ORDEM INFRACIONAL,Carta de Ordem Infracional,CartOrd
103,CARTA DE ORDEM CRIMINAL,Carta de Ordem Criminal,CartOrd
104,CARTA DE ORDEM INFANCIA E JUVENTUDE,Carta de Ordem Infância e Juventude,CartOrd
102,CARTA DE ORDEM CIVEL,Carta de Ordem Cível,CartOrd
109,CARTA PRECATORIA INFANCIA E JUVENTUDE,Carta Precatória Infância e Juventude,CartPrec
110,CARTA PRECATORIA INFRACIONAL,Carta Precatória Infracional,CartPrec
106,CARTA PRECATORIA CIVEL,Carta Precatória Cível,CartPrec
107,CARTA PRECATORIA CRIMINAL,Carta Precatória Criminal,CartPrec
113,CARTA ROGATORIA CRIMINAL,Carta Rogatória Criminal,CartRog
115,CARTAS,Cartas,Cartas
117,CAUTELAR FISCAL,Cautelar Fiscal,CauFis
118,CAUTELAR INOMINADA,Cautelar Inominada,CauIno
119,CAUTELAR INOMINADA CRIMINAL,Cautelar Inominada Criminal,CauInomCrim
116,CAUCAO,Caução,Cauçao
122,COMUNICACAO,Comunicação,Cm
209,EXCECAO DE COISA JULGADA,Exceção de Coisa Julgada,CoiJul
121,COMPROMISSO ARBITRAL,Compromisso Arbitral,ComArb
123,COMUTACAO DE PENA,Comutação de Pena,ComPen
387,PROCEDIMENTO DE COMPETENCIA DE COMISSAO,Procedimento de Competência de Comissão,Comissão
131,CONSIGNATORIA DE ALUGUEIS,Consignatória de Aluguéis,ConAlu
130,CONSIGNACAO EM PAGAMENTO,Consignação em Pagamento,ConPag
124,CONFIRMACAO DE TESTAMENTO,Confirmação de Testamento,ConTes
132,CONSULTA,Consulta,Cons
136,CONVERSAO DE PENA,Conversão de Pena,Conver
138,CORREICAO,Correição,Cor
139,CORREICAO EXTRAORDINARIA,Correição Extraordinária,CorExt
140,CORREICAO ORDINARIA,Correição Ordinária,CorOrd
142,CORREICAO PARCIAL OU RECLAMACAO CORREICIONAL,Correição Parcial ou Reclamação Correicional,CorPar
141,CORREICAO PARCIAL,Correição Parcial,CorPar
144,CRIMES AMBIENTAIS,Crimes Ambientais,CriAmb
